"Axis-limits","x","obs","calc","bkg","diff","zero","Bi","Li2Te","LiBi","tick-pos","diff/sigma"
" ",68.72126099,937.0,974.9613604533951,877.8107438196893,-300.16136045339505," "," "," "," "," ",-1.2401435788279358
" ",68.74752156,940.0,974.2341667238147,877.4515650108447,-296.4341667238147," "," "," "," "," ",-1.1165954163650238
" ",68.77378211999999,946.0,973.6538403635834,877.0907510083391,-289.8538403635834," "," "," "," "," ",-0.8991039036590792
" ",68.80004269,1010.0,973.2151803525035,876.728346792514,-225.41518035250346," "," "," "," "," ",1.157465210424385
" ",68.82630325,934.0,972.9134473493369,876.3643992753397,-301.1134473493369," "," "," "," "," ",-1.2732868757099045
" ",68.85256382,950.0,972.7446931966058,875.9989561781347,-284.9446931966058," "," "," "," "," ",-0.7379352910627286
" ",68.87882438,1030.0,972.7060929082829,875.632067120928,-204.90609290828291," "," "," "," "," ",1.7852121259054592
" ",68.90508495,1003.0,972.7948378157257,875.2637824890357,-231.9948378157257," "," "," "," "," ",0.9537415623460964
" ",68.93134551,980.0,973.0090784407213,874.8941545294939,-255.20907844072127," "," "," "," "," ",0.22331679535169763
" ",68.95760607999999,983.0,973.3476500293659,874.5232362071006,-252.5476500293659," "," "," "," "," ",0.3078621503313075
" ",68.98386664,995.0,973.8096867699255,874.1510823072945,-241.0096867699255," "," "," "," "," ",0.6717780824869307
" ",69.01012721000001,962.0,974.3952854094622,873.7777482822947,-274.5952854094622," "," "," "," "," ",-0.3996400391558323
" ",69.03638777,948.0,975.1054282144837,873.4032913597844,-289.3054282144837," "," "," "," "," ",-0.8803433721579158
" ",69.06264834,943.0,975.9412312344953,873.0277693798139,-295.14123123449525," "," "," "," "," ",-1.0727140828676562
" ",69.08890889999999,985.0,976.9047779664509,872.6512419086177,-254.10477796645085," "," "," "," "," ",0.25793521856818613
" ",69.11516947,939.0,977.9986910235247,872.2737690669827,-301.19869102352465," "," "," "," "," ",-1.272674178356805
" ",69.14143003,929.0,979.2258905443579,871.8954126485024,-312.42589054435786," "," "," "," "," ",-1.6478580323332022
" ",69.1676906,1018.0,980.5904806049573,871.5162349401423,-224.79048060495728," "," "," "," "," ",1.1724875595949362
" ",69.19395116,949.0,982.097092305854,871.136299844211,-295.29709230585394," "," "," "," "," ",-1.0743770664375871
" ",69.22021173,926.0,983.7511735287704,870.7556716918922,-319.9511735287704," "," "," "," "," ",-1.8978213233349408
" ",69.24647229,969.0,985.5587286727234,870.3744163681833,-278.7587286727234," "," "," "," "," ",-0.5319430010385384
" ",69.27273285999999,1034.0,987.5267532395502,869.9926001191908,-215.7267532395502," "," "," "," "," ",1.4452492425317616
" ",69.29899342,1018.0,989.6624484337024,869.6102906792746,-233.86244843370235," "," "," "," "," ",0.8881543312547024
